"stim_id","twister","exp_cond","cb_cond","vowel","crit_cons"
2171,"hag nang fass kam","coda","AE->S; IH->F","AE","FS"
2218,"fam kan gang hass","coda","AE->S; IH->F","AE","FS"
790,"ham fan gang kass","coda","AE->S; IH->F","AE","FS"
1236,"nak mag fass hang","coda","AE->S; IH->F","AE","FS"
714,"haf nass kang mag","coda","AE->S; IH->F","AE","FS"
1633,"hag nass kang fam","coda","AE->S; IH->F","AE","FS"
2480,"gaf mass nak hang","coda","AE->S; IH->F","AE","FS"
403,"gass kan maf hang","coda","AE->S; IH->F","AE","FS"
2884,"fam kag nass hang","coda","AE->S; IH->F","AE","FS"
2382,"gan fass hang mak","coda","AE->S; IH->F","AE","FS"
2836,"kam nag hang fass","coda","AE->S; IH->F","AE","FS"
377,"kag nass hang maf","coda","AE->S; IH->F","AE","FS"
1697,"hass gak nang fam","coda","AE->S; IH->F","AE","FS"
213,"fang gam hass kan","coda","AE->S; IH->F","AE","FS"
2559,"nang hass mag fak","coda","AE->S; IH->F","AE","FS"
1999,"mag kass naf hang","coda","AE->S; IH->F","AE","FS"
2631,"naf kam gang hass","coda","AE->S; IH->F","AE","FS"
2086,"gak hang man fass","coda","AE->S; IH->F","AE","FS"
2593,"mass haf gang nak","coda","AE->S; IH->F","AE","FS"
2708,"naf mass hag kang","coda","AE->S; IH->F","AE","FS"
744,"fang hass kan mag","coda","AE->S; IH->F","AE","FS"
2404,"kaf nang mag hass","coda","AE->S; IH->F","AE","FS"
814,"fak mang hass nag","coda","AE->S; IH->F","AE","FS"
1569,"nang kaf gam hass","coda","AE->S; IH->F","AE","FS"
2029,"mang nag hass fak","coda","AE->S; IH->F","AE","FS"
879,"nak hass fam gang","coda","AE->S; IH->F","AE","FS"
1945,"fam hag kass nang","coda","AE->S; IH->F","AE","FS"
1838,"naf gass hang kam","coda","AE->S; IH->F","AE","FS"
56,"gang haf nass mak","coda","AE->S; IH->F","AE","FS"
1713,"gan fam hass kang","coda","AE->S; IH->F","AE","FS"
59,"hak nag mass fang","coda","AE->S; IH->F","AE","FS"
2780,"gaf kass han mang","coda","AE->S; IH->F","AE","FS"
773,"haf gang nak mass","coda","AE->S; IH->F","AE","FS"
2469,"gass nang ham kaf","coda","AE->S; IH->F","AE","FS"
3033,"fam nang hass kag","coda","AE->S; IH->F","AE","FS"
2389,"hang kass fam gan","coda","AE->S; IH->F","AE","FS"
855,"gam hak fang nass","coda","AE->S; IH->F","AE","FS"
1774,"kan ham fang gass","coda","AE->S; IH->F","AE","FS"
2301,"kan gam hang fass","coda","AE->S; IH->F","AE","FS"
490,"fak mang hag nass","coda","AE->S; IH->F","AE","FS"
764,"kag hang fam nass","coda","AE->S; IH->F","AE","FS"
2355,"kass fan mag hang","coda","AE->S; IH->F","AE","FS"
532,"gass nang fam hak","coda","AE->S; IH->F","AE","FS"
1716,"kang maf gan hass","coda","AE->S; IH->F","AE","FS"
669,"gaf kang nam hass","coda","AE->S; IH->F","AE","FS"
2460,"nass kam fang hag","coda","AE->S; IH->F","AE","FS"
2654,"nass gang kaf ham","coda","AE->S; IH->F","AE","FS"
2387,"hag fass nang mak","coda","AE->S; IH->F","AE","FS"
1804,"nag fang hak mass","coda","AE->S; IH->F","AE","FS"
2887,"fang hak gam nass","coda","AE->S; IH->F","AE","FS"
1100,"nang gam hass fak","coda","AE->S; IH->F","AE","FS"
2918,"nik hig sing mif","coda","AE->S; IH->F","IH","FS"
2791,"hif sig ming kin","coda","AE->S; IH->F","IH","FS"
1316,"hing sim kif ghin","coda","AE->S; IH->F","IH","FS"
391,"hing kiss ghim nif","coda","AE->S; IH->F","IH","FS"
2003,"sik hig ning mif","coda","AE->S; IH->F","IH","FS"
417,"king ghif niss him","coda","AE->S; IH->F","IH","FS"
368,"sik nif hig ming","coda","AE->S; IH->F","IH","FS"
2201,"ghing him sif nik","coda","AE->S; IH->F","IH","FS"
1565,"sik hing min ghif","coda","AE->S; IH->F","IH","FS"
2516,"sim nif hing kig","coda","AE->S; IH->F","IH","FS"
2630,"mif niss hing ghik","coda","AE->S; IH->F","IH","FS"
1878,"miss kif ghing hin","coda","AE->S; IH->F","IH","FS"
342,"nif hig ming kiss","coda","AE->S; IH->F","IH","FS"
1391,"ning hik mig sif","coda","AE->S; IH->F","IH","FS"
2917,"mik sing hig nif","coda","AE->S; IH->F","IH","FS"
1317,"nif sing him kig","coda","AE->S; IH->F","IH","FS"
2966,"mik hif ghin sing","coda","AE->S; IH->F","IH","FS"
1200,"kiss hig ning mif","coda","AE->S; IH->F","IH","FS"
2033,"mik sif ghin hing","coda","AE->S; IH->F","IH","FS"
2779,"hing ghif niss mik","coda","AE->S; IH->F","IH","FS"
2018,"hing kig sim nif","coda","AE->S; IH->F","IH","FS"
1812,"ming hin ghik sif","coda","AE->S; IH->F","IH","FS"
504,"nim hiss ghing kif","coda","AE->S; IH->F","IH","FS"
1130,"sif king hig min","coda","AE->S; IH->F","IH","FS"
980,"hif ming ghik niss","coda","AE->S; IH->F","IH","FS"
2701,"hik miss nif ghing","coda","AE->S; IH->F","IH","FS"
1940,"hing mif kiss ghin","coda","AE->S; IH->F","IH","FS"
187,"hig sim kif ning","coda","AE->S; IH->F","IH","FS"
2012,"hig mif kiss ning","coda","AE->S; IH->F","IH","FS"
1354,"miss ning ghif hik","coda","AE->S; IH->F","IH","FS"
1542,"hig kif ming sin","coda","AE->S; IH->F","IH","FS"
232,"hig sing kif min","coda","AE->S; IH->F","IH","FS"
1314,"ning hiss mif ghik","coda","AE->S; IH->F","IH","FS"
2265,"ghin hif sing mik","coda","AE->S; IH->F","IH","FS"
1618,"nif sing mig hik","coda","AE->S; IH->F","IH","FS"
771,"ghim nif sing hik","coda","AE->S; IH->F","IH","FS"
708,"hig sif ning mik","coda","AE->S; IH->F","IH","FS"
1886,"ghif nik miss hing","coda","AE->S; IH->F","IH","FS"
1428,"nik ghif him sing","coda","AE->S; IH->F","IH","FS"
1061,"ghik hif ming sin","coda","AE->S; IH->F","IH","FS"
1397,"ghiss king mif hin","coda","AE->S; IH->F","IH","FS"
1829,"king sif ghim hin","coda","AE->S; IH->F","IH","FS"
519,"nik hif sing mig","coda","AE->S; IH->F","IH","FS"
2858,"sing min hif ghik","coda","AE->S; IH->F","IH","FS"
360,"ghim kif hing niss","coda","AE->S; IH->F","IH","FS"
2077,"kiss ghing mif hin","coda","AE->S; IH->F","IH","FS"
1822,"hiss king min ghif","coda","AE->S; IH->F","IH","FS"
122,"ghin mif kiss hing","coda","AE->S; IH->F","IH","FS"
1527,"sif hing nik mig","coda","AE->S; IH->F","IH","FS"
2629,"ghif kim sin hing","coda","AE->S; IH->F","IH","FS"
2704,"kim ghing niss hif","coda","AE->S; IH->F","IH","FS"
891,"mif ghiss ning hik","coda","AE->S; IH->F","IH","FS"
482,"mig kif hiss ning","coda","AE->S; IH->F","IH","FS"
182,"mig sif hing nik","coda","AE->S; IH->F","IH","FS"
667,"niss hif kig ming","coda","AE->S; IH->F","IH","FS"
2394,"sif kim hig ning","coda","AE->S; IH->F","IH","FS"
459,"mif hik ghiss ning","coda","AE->S; IH->F","IH","FS"
654,"mik ghing sin hif","coda","AE->S; IH->F","IH","FS"
1952,"hig sin king mif","coda","AE->S; IH->F","IH","FS"
900,"sin ghing kim hif","coda","AE->S; IH->F","IH","FS"
1960,"ghing hiss min kif","coda","AE->S; IH->F","IH","FS"
913,"nim sing hif ghik","coda","AE->S; IH->F","IH","FS"
1819,"kin hing miss ghif","coda","AE->S; IH->F","IH","FS"
739,"hing mif nik ghiss","coda","AE->S; IH->F","IH","FS"
794,"ming sig hin kif","coda","AE->S; IH->F","IH","FS"
751,"hing ghif kin miss","coda","AE->S; IH->F","IH","FS"
2896,"nif mig sik hing","coda","AE->S; IH->F","IH","FS"
178,"ghif mik hiss ning","coda","AE->S; IH->F","IH","FS"
2475,"ghiss nim hif king","coda","AE->S; IH->F","IH","FS"
523,"sik ghif ning him","coda","AE->S; IH->F","IH","FS"
1132,"sin hing kif mig","coda","AE->S; IH->F","IH","FS"
717,"kim sif hin ghing","coda","AE->S; IH->F","IH","FS"
494,"sif nik ming hig","coda","AE->S; IH->F","IH","FS"
1711,"hif ghiss king min","coda","AE->S; IH->F","IH","FS"
815,"hik sin mif ghing","coda","AE->S; IH->F","IH","FS"
453,"sif kin him ghing","coda","AE->S; IH->F","IH","FS"
